id_attivita,id_account_club,nome_club_sponsor,titolo,descrizione,stato,rapporto_completo,livello_attivita,causa,tipo_progetto,attivita_distintiva,finanziata_lcif,data_inizio,data_conclusione,persone_servite,persone_servite_limite,totale_volontari,totale_ore_servizio,totale_ore_servizio_capped,alberi_piantati,valuta_fondi_donati,totale_fondi_donati,fondi_donati_usd_capped,donazione_lcif,organizzazione_beneficiata,valuta_fondi_raccolti,totale_fondi_raccolti,fondi_raccolti_usd_capped,creato_da
SA-08098018,001Ns00000EDgRMIA1,ALTA MAREMMA,Massadotta attività sanitarie gratuite,i soci Maurizio Spagnesi ed Achille Aguggeri svolgono rispettivamente attività di Direttore Sanitario e di Psicologo presso la struttura sanitaria di Massadotta in forma totalmente gratuita,Comunicato,True,Lions Club,Altro servizio umanitario,Attività per altri servizi sanitari,True,False,2025-09-01,2025-09-30,20,20,2,24.00,24.00,,EUR,3000.00,3494.64,0,Massadotta,EUR,3000.00,3494.64,Maurizio Spagnesi
SA-08165068,001Ns00000EDgRMIA1,ALTA MAREMMA,RIUNIONE DIRETTIVO DI CLUB,"Direttivo presso il Ristorante Montecristo a Follonica, odg: storno di fondi per soci da surplus derivante dalla gita ai Colli Albani, ingresso nuovi soci Bigongiari Silvano e Patrizia Calamassi, proiezione del video predisposto dal Governatore Distrettuale sul Lions prima di eventi pubblici, relazione di ezio Puggelli sul service di ripubblicazione del libro su Niccioleta. Tutti gli argomenti sono stati approvati all'unanimità.",Comunicato,True,Lions Club,Amministrazione,Attività di rafforzamento del club,False,False,2025-10-08,2025-10-08,,0,13,39.00,39.00,,,,0.00,0,,,,0.00,Maurizio Spagnesi
SA-08263538,001Ns00000EDgRMIA1,ALTA MAREMMA,Riunione Direttivo Ristretto,"riunione tra il presidente, il segretario, il cerimoniere e l'addetto stampa per la preparazione del meeting di Massa M/ma",Comunicato,True,Lions Club,Amministrazione,Attività di rafforzamento del club,False,False,2025-10-20,2025-10-20,,0,4,4.00,4.00,,,,0.00,0,,,,0.00,Maurizio Spagnesi
SA-08263499,001Ns00000EDgRMIA1,ALTA MAREMMA,Conviviale Seminario Vescovile Massa M/ma,Conviviale presso il Seminario vescovile di Massa M/ma a termine dell'incontro pubblico presso la Sala dell'Abbondanza. Ingresso dei nuovi soci Silvano Bigongiari e Patrizia Calamassi,Comunicato,True,Lions Club,Amministrazione,Attività di rafforzamento del club,False,False,2025-10-25,2025-10-25,0,0,20,60.00,60.00,0,USD,0.00,0.00,0,,USD,0.00,0.00,Maurizio Spagnesi
SA-08263474,001Ns00000EDgRMIA1,ALTA MAREMMA,"800 anni di libero comune di Massa M/ma, tra statuti e diritti",Conferenza pubblica presso la Sala dell'Abbondanza di Massa M/ma nell'ambito delle manifestazioni per gli 800 anni di Libero comune. Interventi della dr.ssa Maria Luisa Massai e del ricercatore Marco Paperini sull'evoluzione degli statuti comunali e dei diritti delle donne. Moderatore il Sindaco Irene Marconi,Comunicato,True,Lions Club,Ambiente,Sensibilizzazione e istruzione e advocacy,False,False,2025-10-25,2025-10-25,60,60,5,3.00,3.00,,,,0.00,0,,,,0.00,Maurizio Spagnesi
SA-08263669,001Ns00000EDgRMIA1,ALTA MAREMMA,Partecipazione del Presidente di Club e di Zona alla visita del Governatore al LC Grosseto,Partecipazione del Presidente di Club e di Zona alla visita del Governatore al LC Grosseto,Comunicato,True,Lions Club,Amministrazione,Attività di rafforzamento del club,False,False,2025-10-11,2025-10-11,0,0,2,6.00,6.00,0,USD,0.00,0.00,0,,USD,0.00,0.00,Maurizio Spagnesi
SA-08264821,001Ns00000EDgRMIA1,ALTA MAREMMA,Riunione Circoscrizionale,"riunione di Circoscrizione, partecipano il Presidente di Club e quello di Zona",Comunicato,True,Lions Club,Amministrazione,Attività di rafforzamento del club,False,False,2025-10-11,2025-10-11,,0,2,8.00,8.00,,,,0.00,0,,,,0.00,Maurizio Spagnesi
SA-08304225,001Ns00000EDgRMIA1,ALTA MAREMMA,Riunione di Zona M,"Riunione di Zona M, partecipano il Presidente di Zona Bruno Bernardini, il Presidente Adriano Mazzone ed il Segretario Maurizio Spagnesi",Comunicato,True,Lions Club,Amministrazione,Attività di rafforzamento del club,False,False,2025-10-30,2025-10-30,,0,3,9.00,9.00,,,,0.00,0,,,,0.00,Maurizio Spagnesi
SA-08304283,001Ns00000EDgRMIA1,ALTA MAREMMA,Massadotta,i soci Maurizio Spagnesi ed Achille Aguggeri svolgono rispettivamente attività di Direttore Sanitario e di Psicologo presso la struttura sanitaria di Massadotta in forma totalmente gratuita,Comunicato,True,Lions Club,Altro servizio umanitario,Attività per altri servizi sanitari,True,False,2025-10-01,2025-10-31,20,20,2,24.00,24.00,,EUR,3000.00,3515.98,0,Massadotta,EUR,3000.00,3515.98,Maurizio Spagnesi
SA-08410641,001Ns00000EDgRMIA1,ALTA MAREMMA,Gabinetto Distrettuale,"Partecipazione dei soci Bruno Bernardini, Ezio Puggelli ed Achille Aguggeri al Gabinetto Distrettuale a Pisa",Comunicato,True,Lions Club,Amministrazione,Attività di rafforzamento del club,False,False,2025-11-15,2025-11-15,,0,3,15.00,15.00,,,,0.00,0,,,,0.00,Maurizio Spagnesi
SA-08494780,001Ns00000EDgRMIA1,ALTA MAREMMA,Conviviale del Club per Charter e Visita Governatore Distrettuale,"Conviviale del Club per la 59° Charter Night e Visita del Governatore Distrettuale. Presenti Cerimoniere Distrettuale e Cerimoniere Aggiunto, Presidente di Zona, Primo Vicepresidente Distrettuale Piero Fontana, Past Governatore Poma, Presidenti LC Piombino, Grosseto ed Orbetello.",Comunicato,True,Lions Club,Amministrazione,Attività di rafforzamento del club,False,False,2025-11-23,2025-11-23,,0,19,57.00,57.00,,,,0.00,0,,,,0.00,Maurizio Spagnesi
SA-08494668,001Ns00000EDgRMIA1,ALTA MAREMMA,Massadotta,i Lions Aguggeri e Spagnesi offrono gratuitamente servizio ambulatoriale di psicologia e di direttore sanitario della struttura dedicata a prestazioni sanitarie gratuite per le persone in difficoltà,Comunicato,True,Lions Club,Altro servizio umanitario,Attività per altri servizi sanitari,False,False,2025-11-01,2025-11-30,20,20,2,24.00,24.00,,EUR,3000.00,3474.82,0,Massadotta,EUR,3000.00,3474.82,Maurizio Spagnesi
SA-08494738,001Ns00000EDgRMIA1,ALTA MAREMMA,Incontro con il Governatore del Direttivo di Club,Incontro del Direttivo di Club aperto a Tutti i soci con il Governatore Distrettuale. Presenti il Presidente di Zona ed il Primo Vicegovernatore,Comunicato,True,Lions Club,Amministrazione,Attività di rafforzamento del club,False,False,2025-11-23,2025-11-23,0,0,19,38.00,38.00,,,,0.00,0,,,,0.00,Maurizio Spagnesi
SA-08556826,001Ns00000EDgRMIA1,ALTA MAREMMA,Festa degli Auguri,Tradizionale festa degli Auguri. Durante la cena sono stati consegnati gli Chevron di anzianità Lionistica a Giorgio Testini (40 anni) ed Eleonora Goti (15 anni),Comunicato,True,Lions Club,Amministrazione,Attività di rafforzamento del club,False,False,2025-12-07,2025-12-07,,0,15,45.00,45.00,,,,0.00,0,,,,0.00,Maurizio Spagnesi
SA-08556897,001Ns00000EDgRMIA1,ALTA MAREMMA,Lotteria degli Auguri,Lotteria degli Auguri con doni regalati dai soci e biglietti venduti in occasione della cena degli auguri.,Comunicato,True,Lions Club,Fame,Iniziative contro la fame a favore di donne e bambini,False,False,2025-12-07,2025-12-07,100,100,15,15.00,15.00,,,,0.00,0,Coordinamento interparrocchiale di Follonica,EUR,500.00,578.31,Maurizio Spagnesi
SA-08557308,001Ns00000EDgRMIA1,ALTA MAREMMA,Salute mentale e benessere,"Sono stati contattati i Servizi Sociali dei Comuni e quelli dell'Azienda Sanitaria per implementare la collaborazione del servizio di psicologia offerto gratuitamente da un nostro socio presso l'ambulatorio di Massadotta ed è stata svolta sul ""campo"" assistenza psicologica a soggetti in stato di difficoltà. Gli enti locali sono stati sensibilizzati sul significato della Giornata Mondiale della Salute Mentale",Comunicato,True,Lions Club,Altro servizio umanitario,Salute mentale e benessere,False,False,2025-10-04,2025-10-12,50,50,3,30.00,30.00,,,,0.00,0,,,,0.00,Maurizio Spagnesi
SA-08589343,001Ns00000EDgRMIA1,ALTA MAREMMA,Riunione,"Riunione tra il Presidente di Club, Presidente di Zona, Segretario, Cerimoniere e socio Vincenzo Vacchiano per preparazione evento di gennaio",Comunicato,True,Lions Club,Amministrazione,Attività di rafforzamento del club,False,False,2025-12-15,2025-12-15,,0,5,5.00,5.00,,,,0.00,0,,,,0.00,Maurizio Spagnesi
SA-08589370,001Ns00000EDgRMIA1,ALTA MAREMMA,Riunione con LC Salebrum,Partecipazione del Presidente di Club e di Zona alla conviviale del LC Salebrum con ingresso di nove soci,Comunicato,True,Lions Club,Amministrazione,Attività di rafforzamento del club,False,False,2025-12-14,2025-12-14,,0,2,10.00,10.00,,,,0.00,0,,,,0.00,Maurizio Spagnesi
SA-08589379,001Ns00000EDgRMIA1,ALTA MAREMMA,Riunione con LC Orbetello,Partecipazione del Presidente di Zona alla conferenza sull'intelligenza artificiale organizzata dal LC Orbetello,Comunicato,True,Lions Club,Amministrazione,Attività di rafforzamento del club,False,False,2025-11-28,2025-11-28,,0,1,4.00,4.00,,,,0.00,0,,,,0.00,Maurizio Spagnesi
SA-08623431,001Ns00000EDgRMIA1,ALTA MAREMMA,Cena Coordinamento Interparrocchiale,"Partecipazione dei soci Spagnesi e Goti alla tradizionale cena di Natale per raccolta fondi del Centro di Coordinamento delle opere Caritatevoli; in tale occasione è stato assegnato al nostro Lions Club il premio ""Una vita per la solidarietà 2025"".",Comunicato,True,Lions Club,Altro servizio umanitario,Iniziative per ridurre la povertà,False,False,2025-12-19,2025-12-19,,0,2,6.00,6.00,,EUR,100.00,115.66,0,Coordinamento Inteparrocchiale,EUR,100.00,115.66,Maurizio Spagnesi
SA-08665673,001Ns00000EDgRMIA1,ALTA MAREMMA,Massadotta,i Lions Aguggeri e Spagnesi offrono gratuitamente servizio ambulatoriale di psicologia e di direttore sanitario della struttura dedicata a prestazioni sanitarie gratuite per le persone in difficoltà,Comunicato,True,Lions Club,Altro servizio umanitario,Attività per altri servizi sanitari,False,False,2025-12-01,2025-12-28,20,20,2,24.00,24.00,,EUR,3000.00,3469.86,0,Massadotta,EUR,3000.00,3469.86,Maurizio Spagnesi
SA-08726815,001Ns00000EDgRMIA1,ALTA MAREMMA,Donazione ISPRO,"Donazione del Club al service del Governatore in favore di ISPRO, Centro per la prevenzione oncologica",Comunicato,True,Lions Club,Altro servizio umanitario,Donazione,False,False,2025-11-23,2025-11-23,,0,1,1.00,1.00,,EUR,300.00,347.48,0,ISPRO,EUR,300.00,347.48,Maurizio Spagnesi
SA-08755064,001Ns00000EDgRMIA1,ALTA MAREMMA,"Conviviale ""Genetica""","Conviviale a conclusione della giornata sulla ""Genetica"". In questa occasione c'è stato l'ingresso del nuovo socio Ada D'Auria. Presenti alla conviviale i relatori del Convegno pomeridiano.",Comunicato,True,Lions Club,Amministrazione,Attività di rafforzamento del club,False,False,2026-01-10,2026-01-10,,0,16,48.00,48.00,,,,0.00,0,,,,0.00,Maurizio Spagnesi
SA-08755096,001Ns00000EDgRMIA1,ALTA MAREMMA,"Convegno pubblico ""Genetica""","Convegno pubblico patrocinato dal Comune di Follonica su ""Genetica e nutrigenetica, promozione della salute e longevità"". Relatori il prof. Vincenzo Romano Spica, dott. Vincenzo Longo, dr.ssa Milena Margarella e dr.ssa Milena Mercatelli",Comunicato,True,Lions Club,Altro servizio umanitario,Attività per altri servizi sanitari,False,False,2026-01-10,2026-01-10,100,100,2,5.00,5.00,,,,0.00,0,,,,0.00,Maurizio Spagnesi
SA-08778457,001Ns00000EDgRMIA1,ALTA MAREMMA,Armadio solidale,"Ordinazione, arrivo e consegna di prodotti alimentari per la prima infanzia (ed altro materiale quali pannolini) posizionati nel nostro armadio solidale presso il Centro di Coordinamento Interparrocchiale. Nel dettaglio sono stati consegnati 680 pannolini, 290 omogeneizzati e 86 pacchi di pastina.",Comunicato,True,Lions Club,Fame,Iniziative contro la fame a favore di donne e bambini,False,False,2026-01-08,2026-01-09,20,20,4,15.00,15.00,,EUR,500.00,588.47,0,Coordinamento Interparrocchiale Follonica,,,0.00,Maurizio Spagnesi
SA-08868156,001Ns00000EDgRMIA1,ALTA MAREMMA,Direttivo di Club,"Direttivo di Club allargato a tutti i soci, temi: ridefinizione del programma dell'annata (febbraio-missioni italiane all'estero, marzo-presentazione libro su Niccioleta, aprile-restauro lapidi a Follonica e maggio-torneo di tennis; approvazione nuovo ingresso del socio Rondelli e approvazione versamento LCIF pro alluvionati di Sicilia e Calabria. Tutti gli argomenti sono stati approvati all'unanimità.",Comunicato,True,Lions Club,Amministrazione,Attività di rafforzamento del club,False,False,2026-01-29,2026-01-29,,0,14,42.00,42.00,,,,0.00,0,,,,0.00,Maurizio Spagnesi
SA-08879615,001Ns00000EDgRMIA1,ALTA MAREMMA,LCIF Casette della solidarietà,"Raccolta fondi tramite l'acquisto di 63 Casette della Solidarietà di cui ? 6,5 sono pro LCIF",Comunicato,True,Lions Club,Assistenza nei disastri,Risposta alle emergenze,False,False,2025-10-15,2025-10-29,,0,3,10.00,10.00,,EUR,473.00,554.35,1,LCIF,EUR,472.50,553.77,Maurizio Spagnesi
SA-08879661,001Ns00000EDgRMIA1,ALTA MAREMMA,LCIF Uova della Solidarietà,"Raccolta fondi tramite l'acquisto di 30 uova pasquali della solidarietà di cui ? 6,0 destinati alla LCIF",Comunicato,True,Lions Club,Assistenza nei disastri,Preparazione ai disastri,False,False,2026-01-15,2026-01-31,,0,3,10.00,10.00,,EUR,180.00,211.85,1,LCIF,EUR,180.00,211.85,Maurizio Spagnesi
SA-08879715,001Ns00000EDgRMIA1,ALTA MAREMMA,Massadotta,Attività di Direttore Sanitario e di Psicologo dei soci Spagnesi ed Aguggeri presso l'ambulatorio onlus di Massadotta,Comunicato,True,Lions Club,Altro servizio umanitario,Attività per altri servizi sanitari,False,False,2026-01-01,2026-01-30,20,20,2,24.00,24.00,,EUR,3000.00,3530.83,0,Massadotta,EUR,3000.00,3530.83,Maurizio Spagnesi
SA-08889255,001Ns00000EDgRMIA1,ALTA MAREMMA,LCIF Luce nelle tenebre,"Contributo alla LCIF nel programma ""Luce nelle tenebre"" per gli aiuti ai colpiti dall'uragano Harry in Sicilia e Calabria",Comunicato,True,Lions Club,Assistenza nei disastri,Donazione,False,False,2026-02-01,2026-02-01,,0,3,3.00,3.00,,EUR,500.00,596.61,1,LCIF,,,0.00,Maurizio Spagnesi
SA-08917309,001Ns00000EDgRMIA1,ALTA MAREMMA,Computer per Università III° età,Donazione di un computer per l'Università della III° età di Follonica,Comunicato,True,Lions Club,Altro servizio umanitario,Donazione,False,False,2026-02-04,2026-02-04,,0,2,3.00,3.00,,EUR,480.00,572.75,0,Università III° età,,,0.00,Maurizio Spagnesi
SA-08931396,001Ns00000EDgRMIA1,ALTA MAREMMA,Riunione di Zona,"Riunione di Zona, presenti il Presidente, il Presidente di Zona e l'Officer alla Formazione Achille Aguggeri",Comunicato,True,Lions Club,Amministrazione,Attività di rafforzamento del club,False,False,2026-02-05,2026-02-05,,0,3,12.00,12.00,,,,0.00,0,,,,0.00,Maurizio Spagnesi
SA-08964701,001Ns00000EDgRMIA1,ALTA MAREMMA,Missioni militari all'estero,"Convegno pubblico alla sala Tirreno a Follonica sulle missioni militari all'estero con riferimento agli aspetti umanitari. Relatori il Capo Redattore de ""La Nazione"" Luca Mantiglioni ed il Maggiore dei Carabinieri Giordano Poggetti",Comunicato,True,Lions Club,Altro servizio umanitario,Formazione e istruzione degli adulti,False,False,2026-02-14,2026-02-14,100,100,2,10.00,10.00,,,,0.00,0,,,,0.00,Maurizio Spagnesi
SA-08964755,001Ns00000EDgRMIA1,ALTA MAREMMA,Conviviale Missioni Italiane all'estero,Conviviale al termine della conferenza pubblica sulle missioni italiane all'estero svoltasi presso l'Hotel Parrini. Hanno partecipato i relatori ed Colonnello comandante della compagnia dei Carabinieri di Follonica. Nel corso della serata si è proceduto alla cerimonia d'ingresso del socio Antonio Rondelli,Comunicato,True,Lions Club,Amministrazione,Attività di rafforzamento del club,False,False,2026-02-14,2026-02-14,,0,14,56.00,56.00,,,,0.00,0,,,,0.00,Maurizio Spagnesi
SA-09125380,001Ns00000EDgRMIA1,ALTA MAREMMA,Massadotta,Attività di Direttore Sanitario e di Psicologo dei soci Spagnesi ed Aguggeri presso l'ambulatorio onlus di Massadotta,Comunicato,True,Lions Club,Altro servizio umanitario,Attività per altri servizi sanitari,False,False,2026-02-01,2026-02-28,20,20,2,24.00,24.00,,EUR,3000.00,3579.67,0,Massadotta,EUR,3000.00,3579.67,Maurizio Spagnesi
SA-09154983,001Ns00000EDgRMIA1,ALTA MAREMMA,Direttivo di Club,"Direttivo di Club allargato a tutti i soci, DECISIONI: eletti Presidente di Club 2026-2027 Davide Calbarese e primo Vice Presidente Achille Aguggeri, delegato alla Convention Adriano Mazzone, delegato ai Congressi Multidistretto e Distrettuale Adriano Mazzone, Achille Aguggeri e Davide Calabrese. Illustrate le iniziative per il 28 marzo p.v. e per il 18 aprile p.v.. Approvate le modalità sul service sull'ambiente (sensibilizzazione sulla raccolta differenziata dei RAEE) per il 24 aprile p.v.. Approvata l'iniziativa per il 12 aprile p.v. Lions Day con l'offerta di un pasto solidale tramite la mensa interparrocchiale. Raccolte le idee per il gadget da realizzare in occasione del 60° compleanno del Club",Comunicato,True,Lions Club,Amministrazione,Attività di rafforzamento del club,False,False,2026-03-20,2026-03-20,,0,12,36.00,36.00,,,,0.00,0,,,,0.00,Maurizio Spagnesi
SA-09196524,001Ns00000EDgRMIA1,ALTA MAREMMA,Massadotta,Attività di Direttore Sanitario e di Psicologo dei soci Spagnesi ed Aguggeri presso l'ambulatorio onlus di Massadotta,Comunicato,True,Lions Club,Altro servizio umanitario,Attività per altri servizi sanitari,False,False,2026-03-02,2026-03-30,20,20,2,24.00,24.00,,EUR,3000.00,3543.67,0,Massadotta,EUR,3000.00,3543.67,Maurizio Spagnesi
SA-09196454,001Ns00000EDgRMIA1,ALTA MAREMMA,"Conferenza pubblica ""VINO""","Conferenza pubblica sul tema ""Vino, tra mito e realtà: viaggio tra curiosità e tradizioni. In collaborazione con L'Università della terza età di Follonica. Saluto del Magnifico Rettore avv. Davide Novelli e relatore Lions Ezio Puggelli sommelier AIS",Comunicato,True,Lions Club,Ambiente,Sensibilizzazione e istruzione e advocacy,False,False,2026-03-28,2026-03-28,100,100,2,6.00,6.00,,,,0.00,0,,,,0.00,Maurizio Spagnesi
SA-09196492,001Ns00000EDgRMIA1,ALTA MAREMMA,"Conviviale ""Vino""","Conviviale presso Ristorante ""OASI"" a Follonica. Presente come ospite del Club Sabrina Diligenti Delegato AIS per la provincia di Grosseto",Comunicato,True,Lions Club,Amministrazione,Attività di rafforzamento del club,False,False,2026-03-28,2026-03-28,,0,15,45.00,45.00,,,,0.00,0,,,,0.00,Maurizio Spagnesi
SA-09283929,001Ns00000EDgRMIA1,ALTA MAREMMA,LIONS DAY,"Pranzo solidale per il Lions Day, donati 60 pasti e cene presso la mensa dei bisognosi gestita dai volontari del Coordinamento delle opere caritatevoli di Follonica",Comunicato,True,Lions Club,Fame,Donazione,False,False,2026-04-12,2026-04-12,60,60,3,6.00,6.00,,EUR,350.00,403.98,0,Coordinamento delle Opere Caritatevoli,,,0.00,Maurizio Spagnesi
SA-09325990,001Ns00000EDgRMIA1,ALTA MAREMMA,"Conviviale ""Miniere""","Conviviale a conclusione della giornata di approfondimento sulle ""miniere"" del comprensorio delle Colline Metallifere. Partecipano i relatori arch. David Fantini e signora, la dr.ssa Roberta Pieraccioli, l'Assessore Azzurra Droghini ed il Rettore Università dell'età libera Davide Novelli",Comunicato,True,Lions Club,Amministrazione,Attività di rafforzamento del club,False,False,2026-04-18,2026-04-18,,0,13,39.00,39.00,,,,0.00,0,,,,0.00,Maurizio Spagnesi
SA-09326054,001Ns00000EDgRMIA1,ALTA MAREMMA,Custodi del tempo,"Nell'ambito del Service ""Custodi del Tempo"" è stato organizzato un convegno pubblico sulle Colline Metallifere: miniere, uomini, villaggi.
Relatori descritti nella locandina allegata",Comunicato,True,Lions Club,Ambiente,Altro,False,False,2026-04-18,2026-04-18,100,100,4,16.00,16.00,,,,0.00,0,,,,0.00,Maurizio Spagnesi
SA-09347180,001Ns00000EDgRMIA1,ALTA MAREMMA,Webinar Lions e Imprese,"Webinar su Lions ed Imprese, partecipa il socio Giorgio Testini",Comunicato,True,Lions Club,Amministrazione,Attività di rafforzamento del club,False,False,2026-04-23,2026-04-23,,0,1,3.00,3.00,,,,0.00,0,,,,0.00,Maurizio Spagnesi
SA-09347189,001Ns00000EDgRMIA1,ALTA MAREMMA,Lions e Ambiente - RAEE,"In collaborazione con l'Amministrazione Comunale di Follonica ed il Gestore dei rifiuti ""6 Sei Toscana"" è stata organizzata una giornata di raccolta e conferimento all'isola ecologica dei rifiuti di apparecchiature elettriche ed elettroniche. Sono stati conferiti circa 2 quintali di rifiuti di tale tipologia. Presenti il Presidente Adriano Mazzone e vari Lions, il Vice sindaco Danilo Baietti ed il rappresentante del Centro sig.ra Bellini.",Comunicato,True,Lions Club,Ambiente,Riciclaggio e gestione dei rifiuti,False,False,2026-04-24,2026-04-24,20,20,7,10.00,10.00,,,,0.00,0,,,,0.00,Maurizio Spagnesi
SA-09411774,001Ns00000EDgRMIA1,ALTA MAREMMA,Massadotta,Attività di Direttore Sanitario e di Psicologo dei soci Spagnesi ed Aguggeri presso l'ambulatorio onlus di Massadotta,Comunicato,True,Lions Club,Altro servizio umanitario,Attività per altri servizi sanitari,False,False,2026-04-01,2026-04-30,20,20,2,24.00,24.00,,EUR,3000.00,3462.67,0,Massadotta,EUR,3000.00,3462.67,Maurizio Spagnesi
SA-09434812,001Ns00000EDgRMIA1,ALTA MAREMMA,Direttivo di Club,"Direttivo di Club allargato a tutti i soci, odg: accettate le dimissioni di G. Bellini a far data dal 31.03.2026, approvato l'organigramma 2026-27, approvati il programma dell'evento alla piscina comunale sulla disabilità, il passaggio della Campana, il gadget (cubo di cristallo con incisione) per il 60° anniversario del Club e la gita a Lucca",Comunicato,True,Lions Club,Amministrazione,Attività di rafforzamento del club,False,False,2026-05-07,2026-05-07,,0,13,39.00,39.00,,,,0.00,0,,,,0.00,Maurizio Spagnesi
SA-09508045,001Ns00000EDgRMIA1,ALTA MAREMMA,Congresso Distretto 108 La,"I delegati Puggelli, Bernardini e Aguggeri hanno partecipato a Firenze al Congresso del nostro Distretto",Comunicato,True,Lions Club,Amministrazione,Attività di rafforzamento del club,False,False,2026-05-16,2026-05-16,,0,3,24.00,24.00,,,,0.00,0,,,,0.00,Maurizio Spagnesi
